#Creado con evalua_funcion_vect2D_1par
#FuncionCompX    FuncionCompY 
1081.5   13.6626
1091.52   12.4869
1101.53   14.3553
1111.54   12.6321
1121.56   13.1588
1131.57   12.3912
1141.59   12.2751
1151.6   12.6116
1161.61   13.6666
1171.63   13.1656
1181.64   12.2791
1191.66   15.1016
1201.67   12.0647
1211.68   12.1592
1221.7   13.5554
1231.71   14.6059
1241.72   15.5266
1251.74   15.3423
1261.75   14.3531
1271.77   13.1871
1281.78   14.6398
1291.79   13.1471
1301.81   12.8643
1311.82   12.6289
1321.84   14.0169
1331.85   12.6808
1341.86   12.3227
1351.88   14.6269
1361.89   12.2142
1371.91   14.8831
1381.92   12.3594
1391.93   14.6888
1401.95   11.9943
1411.96   15.5271
1421.97   11.8915
1431.99   13.7721
1442   12.3702
1452.02   12.6193
1462.03   14.8818
1472.04   14.6082
1482.06   14.2891
1492.07   15.5516
1502.09   14.2047
1512.1   14.7091
1522.11   11.9919
1532.13   12.1719
1542.14   13.7637
1552.16   11.9599
1562.17   11.9358
1572.18   12.5005
1582.2   13.5685
1592.21   15.0567
1602.23   14.0532
1612.24   14.8177
1622.25   11.9227
1632.27   12.3707
1642.28   15.8673
1652.29   12.5845
1662.31   15.4381
1672.32   12.2787
1682.34   15.9123
1692.35   12.0028
1702.36   15.41
1712.38   12.0993
1722.39   11.8255
1732.41   15.6685
1742.42   14.3076
1752.43   12.592
1762.45   12.5306
1772.46   13.4979
1782.48   15.6932
1792.49   15.3153
1802.5   13.3956
1812.52   14.2192
1822.53   14.3446
1832.55   13.8231
1842.56   14.8235
1852.57   12.3594
1862.59   14.1884
1872.6   15.1565
1882.61   13.2556
1892.63   16.1757
1902.64   14.4322
1912.66   15.7178
1922.67   15.181
1932.68   14.6894
1942.7   12.1818
1952.71   15.2198
1962.73   15.5961
1972.74   16.0017
1982.75   15.7933
1992.77   15.6266
2002.78   16.2733
2012.8   15.2806
2022.81   15.9758
2032.82   16.3327
2042.84   14.9902
2052.85   14.2759
2062.87   12.8583
2072.88   15.729
2082.89   15.9956
2092.91   12.5171
2102.92   14.9931
2112.93   13.2754
2122.95   14.9314
2132.96   13.2164
2142.98   15.2641
2152.99   13.6182
2163   13.6813
2173.02   13.2714
2183.03   12.6011
2193.05   15.0362
2203.06   13.2716
2213.07   15.1403
2223.09   14.5424
2233.1   16.5603
2243.12   13.5625
2253.13   14.734
2263.14   15.5022
2273.16   12.8688
2283.17   14.4455
2293.18   14.9874
2303.2   16.5404
2313.21   14.3923
2323.23   13.9021
2333.24   16.1585
2343.25   14.3571
2353.27   12.4729
2363.28   13.9873
2373.3   15.116
2383.31   16.1638
2393.32   13.5331
2403.34   15.4946
2413.35   14.6569
2423.37   14.6649
2433.38   13.8939
2443.39   15.7097
2453.41   13.3747
2463.42   15.3358
2473.44   12.7681
2483.45   14.4379
2493.46   15.7051
2503.48   15.6202
2513.49   15.4717
2523.5   14.1888
2533.52   13.4754
2543.53   15.3838
2553.55   15.4776
2563.56   15.9544
2573.57   14.1654
2583.59   16.0252
2593.6   13.6233
2603.62   16.8631
2613.63   15.8158
2623.64   15.687
2633.66   13.9177
2643.67   15.1698
2653.69   13.1762
2663.7   13.9678
2673.71   16.7672
2683.73   15.9165
2693.74   13.2488
2703.76   13.3395
2713.77   14.4858
2723.78   15.4742
2733.8   15.5624
2743.81   15.9091
2753.82   14.2039
2763.84   16.4334
2773.85   14.2263
2783.87   14.4266
2793.88   13.8003
2803.89   17.4425
2813.91   12.9725
2823.92   16.7539
2833.94   14.4966
2843.95   13.8521
2853.96   15.0031
2863.98   17.4137
2873.99   17.246
2884.01   16.552
2894.02   16.2632
2904.03   13.614
2914.05   16.2296
2924.06   14.8497
2934.08   16.6661
2944.09   17.4606
2954.1   17.3516
2964.12   17.1146
2974.13   14.0773
2984.14   16.8271
2994.16   15.7009
3004.17   14.549
3014.19   17.3877
3024.2   17.4244
3034.21   17.2731
3044.23   15.5352
3054.24   15.9127
3064.26   13.9951
3074.27   14.5266
3084.28   17.3028
3094.3   15.5746
3104.31   15.4531
3114.33   17.2737
3124.34   15.6312
3134.35   14.6816
3144.37   14.1738
3154.38   16.557
3164.39   16.7754
3174.41   14.015
3184.42   16.2168
3194.44   15.7078
3204.45   17.3554
3214.46   16.8314
3224.48   14.2601
3234.49   14.4796
3244.51   15.8037
3254.52   14.0262
3264.53   14.1188
3274.55   15.1875
3284.56   15.0309
3294.58   17.9355
3304.59   17.8392
3314.6   16.4878
3324.62   17.5273
3334.63   17.4529
3344.65   15.9271
3354.66   15.1693
3364.67   15.4667
3374.69   16.7484
3384.7   16.5229
3394.71   14.8556
3404.73   14.3506
3414.74   13.9841
3424.76   14.1661
3434.77   16.7781
3444.78   15.4241
3454.8   15.0735
3464.81   15.2947
3474.83   14.1457
3484.84   15.7852
3494.85   18.256
3504.87   16.5698
3514.88   15.04
3524.9   16.9632
3534.91   17.4786
3544.92   16.1585
3554.94   14.5644
3564.95   18.1143
3574.97   16.8742
3584.98   16.3615
3594.99   14.8612
3605.01   16.5842
3615.02   15.9554
3625.03   17.9469
3635.05   15.8266
3645.06   15.1036
3655.08   15.5177
3665.09   17.5137
3675.1   17.0823
3685.12   18.8016
3695.13   15.6309
3705.15   18.4031
3715.16   14.6594
3725.17   16.0293
3735.19   14.0383
3745.2   17.9002
3755.22   17.8714
3765.23   15.5033
3775.24   14.6283
3785.26   18.3698
3795.27   17.667
3805.29   14.3398
3815.3   16.3433
3825.31   19.0351
3835.33   17.662
3845.34   15.196
3855.35   16.5229
3865.37   18.4935
3875.38   14.6495
3885.4   14.6902
3895.41   16.1231
3905.42   15.7298
3915.44   17.5276
3925.45   18.3063
3935.47   14.9146
3945.48   14.5235
3955.49   14.5455
3965.51   16.5968
3975.52   18.242
3985.54   17.8089
3995.55   16.5626
4005.56   14.94
4015.58   17.3357
4025.59   17.2947
4035.61   17.0622
4045.62   17.4075
4055.63   16.2376
4065.65   15.9583
4075.66   18.9469
4085.67   16.8633
4095.69   15.3134
4105.7   17.5715
4115.72   17.1575
4125.73   17.6485
4135.74   17.5472
4145.76   15.7056
4155.77   18.7744
4165.79   14.8934
4175.8   15.0536
4185.81   19.305
4195.83   15.4435
4205.84   17.0629
4215.86   15.7574
4225.87   18.871
4235.88   16.1214
4245.9   16.4779
4255.91   19.1855
4265.92   16.439
4275.94   18.89
4285.95   18.0989
4295.97   14.884
4305.98   16.0446
4315.99   18.764
4326.01   17.9881
4336.02   19.0971
4346.04   16.3634
4356.05   15.923
4366.06   15.8166
4376.08   17.9942
4386.09   15.3821
4396.11   18.35
4406.12   18.9293
4416.13   18.6163
4426.15   15.9098
4436.16   16.9775
4446.18   16.5426
4456.19   17.179
4466.2   16.1253
4476.22   16.9541
4486.23   17.7439
4496.24   15.7641
4506.26   17.8932
4516.27   15.0504
4526.29   16.9971
4536.3   17.0219
4546.31   16.6297
4556.33   18.9347
4566.34   16.4194
4576.36   18.5008
4586.37   17.9991
4596.38   19.9686
4606.4   18.7416
4616.41   19.4174
4626.43   18.8368
4636.44   16.7925
4646.45   18.5913
4656.47   15.1849
4666.48   18.0185
4676.5   19.6996
4686.51   18.5075
4696.52   18.6534
4706.54   18.0023
4716.55   17.3844
4726.56   17.1918
4736.58   19.1272
4746.59   19.5909
4756.61   18.9383
4766.62   16.1207
4776.63   15.4861
4786.65   15.6651
4796.66   19.0457
4806.68   16.3638
4816.69   18.7162
4826.7   19.1735
4836.72   18.4705
4846.73   15.406
4856.75   15.4441
4866.76   17.088
4876.77   16.8646
4886.79   19.0266
4896.8   20.1465
4906.82   16.4684
4916.83   17.3583
4926.84   19.1571
4936.86   20.3327
4946.87   19.1128
4956.88   17.2632
4966.9   20.4176
4976.91   16.5949
4986.93   16.4488
4996.94   18.3694
5006.95   20.1784
5016.97   19.3502
5026.98   20.6279
5037   16.7066
5047.01   17.8454
5057.02   19.5845
5067.04   20.5031
5077.05   18.7384
5087.07   19.817
5097.08   20.9084
5107.09   17.0399
5117.11   20.9112
5127.12   18.8408
5137.13   20.9849
5147.15   18.5549
5157.16   18.8953
5167.18   21.0705
5177.19   20.3087
5187.2   20.4071
5197.22   19.1945
5207.23   19.5623
5217.25   21.4754
5227.26   21.1599
5237.27   17.7432
5247.29   20.8499
5257.3   19.2627
5267.32   19.553
5277.33   20.2549
5287.34   20.363
5297.36   20.4904
5307.37   17.5001
5317.39   19.4475
5327.4   18.7064
5337.41   17.0019
5347.43   20.5811
5357.44   20.9937
5367.45   21.0566
5377.47   19.8884
5387.48   18.4716
5397.5   19.6237
5407.51   19.5544
5417.52   19.8489
5427.54   19.2546
5437.55   17.0408
5447.57   19.5188
5457.58   16.4093
5467.59   20.2505
5477.61   19.2197
5487.62   21.0409
5497.64   19.2346
5507.65   16.9374
5517.66   19.1221
5527.68   19.2567
5537.69   16.611
5547.71   21.0433
5557.72   18.5802
5567.73   20.0581
5577.75   19.0021
5587.76   17.2345
5597.77   18.8082
5607.79   17.8614
5617.8   18.8037
5627.82   16.5584
5637.83   20.6426
5647.84   19.8231
5657.86   21.2331
5667.87   19.9091
5677.89   19.1331
5687.9   19.3282
5697.91   22.3702
5707.93   16.9129
5717.94   17.0182
5727.96   20.3513
5737.97   20.1137
5747.98   17.9322
5758   17.9309
5768.01   20.3589
5778.03   22.1015
5788.04   21.0277
5798.05   19.4245
5808.07   19.2978
5818.08   21.7464
5828.09   22.368
5838.11   22.3649
5848.12   22.089
5858.14   21.3255
5868.15   18.7741
5878.16   19.9956
5888.18   18.1266
5898.19   19.6779
5908.21   22.5039
5918.22   19.6436
5928.23   22.152
5938.25   22.6656
5948.26   18.0083
5958.28   19.6621
5968.29   21.6051
5978.3   21.5411
5988.32   22.3879
5998.33   18.5276
6008.34   21.5672
6018.36   22.7978
6028.37   19.0212
6038.39   19.4616
6048.4   20.4318
6058.41   20.411
6068.43   20.8367
6078.44   18.2525
6088.46   20.0012
6098.47   19.3057
6108.48   21.0997
6118.5   22.7081
6128.51   18.4495
6138.53   20.8665
6148.54   22.456
6158.55   17.8835
6168.57   19.5029
6178.58   18.4571
6188.6   21.199
6198.61   20.8889
6208.62   21.4184
6218.64   20.9467
6228.65   17.6791
6238.66   20.7654
6248.68   20.7999
6258.69   18.8505
6268.71   17.4944
6278.72   19.504
6288.73   17.4638
6298.75   23.1028
6308.76   21.1391
6318.78   22.1997
6328.79   22.9369
6338.8   23.2407
6348.82   18.5659
6358.83   20.2809
6368.85   20.544
6378.86   22.4653
6388.87   21.5164
6398.89   23.5607
6408.9   18.5509
6418.92   19.4212
6428.93   23.1019
6438.94   19.9095
6448.96   23.2486
6458.97   22.3222
6468.98   20.6453
6479   19.3964
6489.01   23.6229
6499.03   18.4871
6509.04   23.1563
6519.05   21.6568
6529.07   22.2739
6539.08   23.585
6549.1   18.9538
6559.11   19.5874
6569.12   18.8797
6579.14   19.1213
6589.15   21.8047
6599.17   18.9852
6609.18   18.6884
6619.19   19.3418
6629.21   23.9079
6639.22   18.0222
6649.24   18.9685
6659.25   18.7258
6669.26   20.9111
6679.28   22.1147
6689.29   23.8288
6699.3   18.6679
6709.32   21.9528
6719.33   18.5066
6729.35   20.5838
6739.36   21.2569
6749.37   20.8926
6759.39   19.9933
6769.4   19.6961
6779.42   23.9939
6789.43   21.7946
6799.44   19.404
6809.46   18.4188
6819.47   20.987
6829.49   23.4627
6839.5   23.093
6849.51   20.5544
6859.53   24.7098
6869.54   18.5192
6879.55   21.6869
6889.57   19.6195
6899.58   22.6185
6909.6   22.8838
6919.61   20.4907
6929.62   24.1527
6939.64   22.5977
6949.65   20.6333
6959.67   18.7559
6969.68   23.4366
6979.69   23.6952
6989.71   23.0332
6999.72   22.9432
7009.74   24.4147
7019.75   20.5699
7029.76   23.4636
7039.78   20.5067
7049.79   23.8764
7059.81   19.8275
7069.82   22.4841
7079.83   18.97
7089.85   19.3019
7099.86   19.6858
7109.87   20.2749
7119.89   19.5802
7129.9   22.5861
7139.92   19.0976
7149.93   24.6106
7159.94   25.0017
7169.96   19.133
7179.97   24.9099
7189.99   21.9053
7200   20.516
